speaker_id,final_split,utterance_count,duration_seconds,provenance_composition,duplicate_file_count,utterance_bucket,eligibility_status,eligibility_reason,selection_hash,split_seed,split_version
11,validation,414,1242.000000,train=414|train_small=0|part=0|test=0,0,200-499,eligible_evaluation,at_least_20_utterances,116e7bcdf85ada7109ce45d8efdf365a6b267b2fcc8fc237de17af0691efb893,20260729,v2
12,train,154,462.000000,train=154|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,57032e02fb13f314008a650a94a1267bb87a4f2a469b3f3afd0c4f10a5649ace,20260729,v2
13,train,442,1326.000000,train=442|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,6b28db234297d2f7a0ac3c799af50da52668104e6283df4d5b7ee9afa4773cff,20260729,v2
14,train,7,21.000000,train=7|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,bcf9d99753db99c7f5b491b357de7fba1c1733e7e18f3d7bcb51d19bf7ed6ad4,20260729,v2
15,validation,469,1407.000000,train=469|train_small=0|part=0|test=0,0,200-499,eligible_evaluation,at_least_20_utterances,18fad00675cc5e4b43a6051a7a0c11f0201b06d7ab7262461db2a52cdb556225,20260729,v2
16,train,109,327.000000,train=109|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,dbe5b65faef3aecf52d9394876f25f6e5147aca47cc68900d28d622f55941435,20260729,v2
17,train,6,18.000000,train=6|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,f69007204e760c5c2a1c994820319dcd22b7399e60984d2ff563616a7111eca8,20260729,v2
18,train,92,276.000000,train=92|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,a3737c3c066b5f23d60758bdea7c14c58d7c7e548425177f52fd88c6cd58358c,20260729,v2
19,train,12,36.000000,train=12|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,0da39ec45da9c405fad842b2256e5e8017fb6e90253fd7b87d611c32bce4fdd8,20260729,v2
20,train,24,72.000000,train=24|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,9f87217afea561d8e9f049a6c4c50a755a82c170ff473686d59cb217b86c685c,20260729,v2
21,train,127,381.000000,train=127|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,78974f6eff9b9643f4940c1105384f11edfc839b608ff7e69a4992245fa66784,20260729,v2
22,train,56,168.000000,train=56|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,d97b45592805bd8508caf6c649e114ffa1150df0ef4865fe38987bdaf563aca0,20260729,v2
23,train,18,54.000000,train=18|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,60761887af1df861a977731e957ef65ef20ae6dd109dd8638b06390dc902c435,20260729,v2
24,train,101,303.000000,train=101|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,510eb8e38d2feff0e47e090b9a458e172138456837fa3605aac38a1d6954114c,20260729,v2
25,train,76,228.000000,train=76|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,b427f3ff57b42e6cfc70480fa09d4d597e764ec0d11ac250b128daf3b9625994,20260729,v2
26,train,226,678.000000,train=226|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,f828397ccf454c97066ca42a0d31753cd35d1a5d717a1fc4a88b42be6049622f,20260729,v2
27,train,14,42.000000,train=14|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,8e4d58796e4e777f86f08cb496e3e7f2b02bd35459096bd27b068b99ab9a8567,20260729,v2
28,validation,187,561.000000,train=187|train_small=0|part=0|test=0,0,100-199,eligible_evaluation,at_least_20_utterances,0cd35206b17872d0735c8a8ec640e32792e00465cf04778424d424aad7132cdf,20260729,v2
29,train,186,558.000000,train=186|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,ab9ccc213f2c63da0c8c1503776364d707dc0dc40147e4fce8d40021b5315336,20260729,v2
30,train,110,330.000000,train=110|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,536a12003a17a81180168b4adeeb89f445ea448a751a0b4ea884533d200ea80e,20260729,v2
31,train,196,588.000000,train=196|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,ca479b8cdaa27605c4d47534c8b4bf30854022347ca1fef918516b1e2c4412a8,20260729,v2
32,train,16,48.000000,train=16|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,fd18e81c7eadcb2c371e52871b6564b19a291cacedff266c89187d84a714b013,20260729,v2
33,train,72,216.000000,train=72|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,96d340a6a2f014fb467573e826bca4494278d7113089ca9c040b5327de51ed27,20260729,v2
34,train,99,297.000000,train=99|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,fe79c754f542689b7c6f5511d1a15c6708b1103041b1cbd2d9e5d7a05271edb2,20260729,v2
35,train,76,228.000000,train=76|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,c05a4c0bc958d6db12197f8dff2dee8b2a596c786f8f74772be53ec588ed2fd1,20260729,v2
36,train,23,69.000000,train=23|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,5d9cd731b000733bd7a2cb49e9be0e27a5fc4ea585bb120b470b2a7d11a62983,20260729,v2
37,train,175,525.000000,train=175|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,a225b4a67ec2e5f0a823bd87312315da8d3c832cb3b78e0c90dd0c9e2df3c9e9,20260729,v2
38,test,30,90.000000,train=30|train_small=0|part=0|test=0,0,20-49,eligible_evaluation,at_least_20_utterances,1eec6690db7186034a6fdd6ca1985d9eb43c6f90fac023c61e337796e6afb507,20260729,v2
39,train,37,111.000000,train=37|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,82763d91101be31745608f714ac0080bd2b161ff74546c8a34ac48730a283f72,20260729,v2
40,train,44,132.000000,train=44|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,656f5b78a28a0ce0660207d2cd634397d7623d1f3f8d1b93242a02c6138436be,20260729,v2
41,train,128,384.000000,train=128|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,eeb8165e60f7cb0e73310a212f118c59245068dc70e36f4e6198bcb251425d12,20260729,v2
42,train,51,153.000000,train=51|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,adef02283e65ba31440bcc4883cf358f6b934dd8214ba2ef96b9f1c14814832c,20260729,v2
43,test,116,348.000000,train=116|train_small=0|part=0|test=0,0,100-199,eligible_evaluation,at_least_20_utterances,2b0a438b5f18302cecc5bc80cede90205d1938d074dea9a2a924eb1444e13d47,20260729,v2
44,train,153,459.000000,train=153|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,693ab6cb0bd1bf1868816358e4f2b5ecc29547686d4d822d0ba1451ad61a5c91,20260729,v2
45,train,35,105.000000,train=35|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,70b29d43989bd5f7850783b9b5760f9dbac1e5131e8bab109b1f21b72ed75a50,20260729,v2
46,validation,32,96.000000,train=32|train_small=0|part=0|test=0,0,20-49,eligible_evaluation,at_least_20_utterances,06408654d8f34fef731d22a7cb3d4f56594ee9558123e0c18e3d99506a3d0a82,20260729,v2
47,train,181,543.000000,train=181|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,f87e6112f5d3e8bdb3041c0413c287dff3fa3d37175d36016f743c6c970dde10,20260729,v2
48,validation,46,138.000000,train=46|train_small=0|part=0|test=0,0,20-49,eligible_evaluation,at_least_20_utterances,15962f0c5f929d0c3383ccfcbae060f6c163dedb678be187d6112feb0f609987,20260729,v2
49,train,386,1158.000000,train=386|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,c09bedff97b3b9adab48d7d543c33ebc44491118404ac93496af9fdcb29cefd9,20260729,v2
50,train,146,438.000000,train=146|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,5089916109d367856227b12de362592df943399397e2529d8d19b1a1d1fb65c6,20260729,v2
51,test,26,78.000000,train=26|train_small=0|part=0|test=0,0,20-49,eligible_evaluation,at_least_20_utterances,34d0a85635d4c27275e97941c25cbbbe19528b6014aa0f03a978890e669a79c3,20260729,v2
52,train,5,15.000000,train=5|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,4374242c332218917440a799e727df557294828b32ec9c4e375cd14116391324,20260729,v2
53,validation,102,306.000000,train=102|train_small=0|part=0|test=0,0,100-199,eligible_evaluation,at_least_20_utterances,22e105e90352b12a6c20bbc08cdc9eb8026218bfd686faa58d8367ed15c93236,20260729,v2
54,train,13,39.000000,train=13|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,a081c49ab49777879823d23d613106cecdd477bce9b7c887e3c7ec9bd3b65c94,20260729,v2
55,train,74,222.000000,train=74|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,a90428e2302875e8b05d13a0a868fbc615fd7025a0c94d1fa9f48363c3b00cb7,20260729,v2
56,train,277,831.000000,train=277|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,e14ea5fdad35ef5931ce2fb5a3d87546e4bdfbc5275b442dff06a16236ed52ff,20260729,v2
57,train,319,957.000000,train=319|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,f258a1dc4aa9aa0c1913b3919ddfd8fdda08032902442fbbad7520dae0afe788,20260729,v2
58,train,122,366.000000,train=122|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,bd691c7ea08b38ed94c1a46aa1a4fd43893f97106fb539818c01d5f2effbdffe,20260729,v2
59,train,12,36.000000,train=12|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,d2988314d7a07ef4569682179d2445a159aae2df1f7c5a77e63cd581f21ca828,20260729,v2
60,train,235,705.000000,train=235|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,e8b37a9be4315bfd5ea68a5e8eb00cfaf0cd8f4109175f69f51afbd3b0f6449c,20260729,v2
61,train,66,198.000000,train=66|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,8ab147bf5abd26d349b41a3b289d48b51d9ca6fa1be38f946b598fd37bca614e,20260729,v2
62,test,90,270.000000,train=90|train_small=0|part=0|test=0,0,50-99,eligible_evaluation,at_least_20_utterances,2643751d53bff15c2f3224f1bc38b09ff6e3636c0f91d5141f308468ab1d94cc,20260729,v2
63,train,38,114.000000,train=38|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,d9e068bf6ad02de42b96b247e06d8e907cd9207d9ff548970ffb5da40a12a412,20260729,v2
64,train,169,507.000000,train=169|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,7c77af4620dccadc4ae2db5e7fa17f2c82abe9fe101787ad5296af0be6fa77bd,20260729,v2
65,test,130,390.000000,train=130|train_small=0|part=0|test=0,0,100-199,eligible_evaluation,at_least_20_utterances,3d88de263b7eb672d8664d6a6e25ab892e96bf40fa9c3b706c5ff6b17c3f4f9f,20260729,v2
66,train,21,63.000000,train=21|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,d411c48df21e2668dab00ed720bb99b7440a6ab3fd64f7c984cc7faef1670e47,20260729,v2
67,train,4,12.000000,train=4|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,141473d8b5095f24882f34e56f6bf052f15deee14f1e9b6221df061b88d3bd03,20260729,v2
68,validation,414,1242.000000,train=414|train_small=0|part=0|test=0,0,200-499,eligible_evaluation,at_least_20_utterances,02ef0018618c0b650c648656363aa372c8fcddf436f0e8b5f71b1ffa20f67fc2,20260729,v2
69,train,116,348.000000,train=116|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,a42da8691bee168f071f855c59f6fa4ada1c12f66eaa9bb84ebf64c5245bab2c,20260729,v2
70,train,184,552.000000,train=184|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,f3bc8b387a13703864f1b446a43bb59ddcee2cde041dc8c5bebd44ba451756e0,20260729,v2
71,train,57,171.000000,train=57|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,cb2ef2fa4ad8456d50b297ca4966bdeb015dce5d297b1beb9cb44da83baf150a,20260729,v2
72,train,55,165.000000,train=55|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,a6c9880dabbb0c799430233fb2b7e20aefe100799a2dc7bee527f6bedb5f2544,20260729,v2
73,train,5,15.000000,train=5|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,22dd77fb24e2130267164caf9d7a29c47758a30f239d882e24cac46fef085577,20260729,v2
74,train,173,519.000000,train=173|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,c2c2289178d8cb4bdfd0f369c3280fb9e4c6ee724ff72051b2d00d858e242621,20260729,v2
75,test,80,240.000000,train=80|train_small=0|part=0|test=0,0,50-99,eligible_evaluation,at_least_20_utterances,33a8c86e9d1d5fe99fd3a9749d6b3bccb531a8ce1d78abce0391acc59195f0e3,20260729,v2
76,train,90,270.000000,train=90|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,80897ba9e4b4e8a689ea47b1ceb95a753560e0202a790d7d51617f278e8cd48b,20260729,v2
77,train,283,849.000000,train=283|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,f6399fc5052a64bee8fc637d617dc84f61df48fc4d261b9a49febe18ade86b1c,20260729,v2
78,train,108,324.000000,train=108|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,a4d4930fc923e7179619dba7605c9a3688a38cc8d0fb63fd2e5614e5158659e5,20260729,v2
79,train,170,510.000000,train=170|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,7f51bb290e8263d0c7369030efa368ddd7597bfc0dca5c2e958d5a1166957361,20260729,v2
80,train,7,21.000000,train=7|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,0e902b2fa529a726db87ddd4a8480a523aa427eb320c4f179b7e7d6df31e68dd,20260729,v2
81,train,371,1113.000000,train=371|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,fa67e90e888d91be341dff976015d290540ea51e23cfbd8f214754f47a561c4c,20260729,v2
82,train,48,144.000000,train=48|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,e242cc483e82a1433dc00aca3ab2bd30f044b09129c3151d8228bbf3ee2d40a4,20260729,v2
83,validation,60,180.000000,train=60|train_small=0|part=0|test=0,0,50-99,eligible_evaluation,at_least_20_utterances,18f04f55ded7ebb2683cccb3e3322f8311cf85db9b350623d185c86e97347575,20260729,v2
84,train,31,93.000000,train=31|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,74ea42e18f4288c53053bfa81c89b29e6af3a5a121ed449c0caf764b34b89697,20260729,v2
85,train,363,1089.000000,train=363|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,ba8a8182c29877ffb3d8348a73a8f0c619cd7b18bd7753a7a17cb6fb767bc119,20260729,v2
86,train,512,1536.000000,train=512|train_small=0|part=0|test=0,0,500+,eligible_train,at_least_2_utterances,4d267af00e2ae18a8305688c710173e44757c43a2d46416000ae9717095235eb,20260729,v2
87,train,5,15.000000,train=5|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,d57253f27764e9dabe8d298f21770a6c1aeb1d7a2eef92817d35b8c1b1316696,20260729,v2
88,train,4,12.000000,train=4|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,70ea7ea239e0aa36e73467c2cd4f8440c1ad2606c7c7221943a668f960d13e44,20260729,v2
89,train,131,393.000000,train=131|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,cfc392d26e302bcf165ae333d0bd16d6fc6607c5ccc7a2a0022fe30b06416f7c,20260729,v2
90,train,114,342.000000,train=114|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,55c09e17b36ffefe677f2191f1b7640d4cca69b44682238874d11c5d08a9b1af,20260729,v2
91,train,260,780.000000,train=260|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,85fbc65be863305ea95fcaebe909cd6a06d27b878d037ff777679baef4c9f8a1,20260729,v2
92,train,87,261.000000,train=87|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,eab35b8fb3aff3cd7f686a1a9cfc1df557e188651550fb3fb169ddbdd6da6d67,20260729,v2
93,train,413,1239.000000,train=413|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,fe702eceb330b3d1ff717eb931666abba2dcc0b7260fa1477b9c9f98e3dc1286,20260729,v2
94,train,4,12.000000,train=4|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,9f8c38da40b091427885116a7a8ea0b7145dbbfd36e8e8fff0ef04bc9e171f8a,20260729,v2
95,train,59,177.000000,train=59|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,911f0b72f8fe30cb588cced6cdf5ddd4be70de4a61d24c9e4ac79d3f0504e245,20260729,v2
96,train,44,132.000000,train=44|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,cb70f4199546658722923d813d8fb72b9420cef3cb1491116f99f07511a272a2,20260729,v2
97,train,10,30.000000,train=10|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,9d9e384773a6d838148cb45877116dffd1a87ef87720cdde89997e4822bafe64,20260729,v2
98,validation,107,321.000000,train=107|train_small=0|part=0|test=0,0,100-199,eligible_evaluation,at_least_20_utterances,044fbd68920b4ee8d528660b91d177a07f5fa0dbc6cc162b693f2481fff2be77,20260729,v2
99,test,116,348.000000,train=116|train_small=0|part=0|test=0,0,100-199,eligible_evaluation,at_least_20_utterances,37f050d21a8150921dcaeeaa65be51932187b4fba7749c416b180743f438c017,20260729,v2
100,train,456,1368.000000,train=456|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,add21fb46028bbf62fcc87c862c6ceb3f19d1c668ffe1907a7a7d3c77ec99138,20260729,v2
101,train,319,957.000000,train=319|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,71869003d52bb4aff84a167278001ced55a6029eb5dc01967c80734c934682d3,20260729,v2
102,train,345,1035.000000,train=345|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,57261eae62c390dc5281d7062795a223011fea0fab10e230afdee95eeb165da7,20260729,v2
103,train,26,78.000000,train=26|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,8f25e997705704f6c3cb0284d6e98e5d29d0dda943338a34c07177ac1e1913a3,20260729,v2
104,train,123,369.000000,train=123|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,a03b965b91231b067286b5dd4fd44762d5fd4fdc6b0236c06a0ef166150edb8a,20260729,v2
105,train,527,1581.000000,train=527|train_small=0|part=0|test=0,0,500+,eligible_train,at_least_2_utterances,b648d74e2274420386e3593003420c97591954f2c763272479dadf897502f67c,20260729,v2
106,test,380,1140.000000,train=380|train_small=0|part=0|test=0,0,200-499,eligible_evaluation,at_least_20_utterances,234ac3deafc00aaf642b862c24f68f49d904b7ad80dd6f016edd46ac4416222c,20260729,v2
107,train,140,420.000000,train=140|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,7fc213967629bb920cfb888063b3986b1aef1254c7a134bb05d487ca6f020474,20260729,v2
108,train,34,102.000000,train=34|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,55d310c939bfd9f9b07094e86a836d7d3aea0cc414d8f7f4926b9b32b542d8e2,20260729,v2
109,train,225,675.000000,train=225|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,489d5472e1071382f5b93817adcb01697e8035cbbe5d6786a5009d8a68aa643b,20260729,v2
110,train,108,324.000000,train=108|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,cb8b8133aaae2500de5299cd019f9d0eb84ed1994d5be4e2329fa513a3f14aa0,20260729,v2
111,train,66,198.000000,train=66|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,b72c98fb81d9c88c7deaec9bba77a8e05fbce43510e69f78e877213d9595a512,20260729,v2
112,train,172,516.000000,train=172|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,647ea03d7dd937560b81234d1baded3ec8019f05c96be10beaded7664d117384,20260729,v2
113,train,66,198.000000,train=66|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,9aaca298aea02a338003e1a025edb3da14bb9894c432cca75565b738ce9022d1,20260729,v2
114,train,108,324.000000,train=108|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,d15d0484805a3aa822122620863effb888550a8c008e54d73efadc490dd7667b,20260729,v2
115,train,49,147.000000,train=49|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,888783ca0b11025ebcb4fb46488f65c0e3fdab506a334c7448fde3fce7529389,20260729,v2
116,train,151,453.000000,train=151|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,ff187d3bccd41110ae445329c2b66251eac7735ed5ee7081781392d4f9c86bdf,20260729,v2
117,train,27,81.000000,train=27|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,b00ff902bb951e997d9fbaa51fd814034dcb461bec5df92eafa3173a09226db9,20260729,v2
119,train,13,39.000000,train=13|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,ad5c3633194af3a7d05e97074e790d7fa0d250da0cf9ce4bc018c171fa29d5d0,20260729,v2
120,train,123,369.000000,train=123|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,8fb9f39340f48f35e67a7be90ea4d473af751bcd11bb2b038efe78b2068884c1,20260729,v2
121,train,72,216.000000,train=72|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,4437f78711d93eb63ece06520a12756fd60f0eb51a973637774eb6d73a866694,20260729,v2
122,train,154,462.000000,train=154|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,8a467a1391ffafdf28597a536fdd4c52e48a39e75ee0d0c84d24443c2f78eecd,20260729,v2
123,train,116,348.000000,train=116|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,e22fbcbbf85df6f65b337a028513996d25becc52df977010c1d666ef4693ec5c,20260729,v2
124,train,71,213.000000,train=71|train_small=0|part=0|test=0,0,50-99,eligible_train,at_least_2_utterances,90543f8dee34d59fb115f84a0fc7b821ba4fe7e0093f46e7336f72b961376b4a,20260729,v2
125,train,274,822.000000,train=274|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,47d9a9d3fb1612dbe3898b8c549703d795ad2419dbcf273c9c8a3f34577b8168,20260729,v2
126,train,237,711.000000,train=237|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,73ed34f5286f38e289e8dbab97c08e479dea28b928e26df1b98b67165f3297fe,20260729,v2
127,test,303,909.000000,train=303|train_small=0|part=0|test=0,0,200-499,eligible_evaluation,at_least_20_utterances,22c30debd68739ef3d6f195d1ac9fdeeef90b987edee9ebd944824039902702d,20260729,v2
128,train,24,72.000000,train=24|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,dd6009e6d25937f08d57d7aea151a092cdc36fd6fea9b5a79919bc01b0e04dbc,20260729,v2
129,validation,66,198.000000,train=66|train_small=0|part=0|test=0,0,50-99,eligible_evaluation,at_least_20_utterances,13f66c68090191bbddc31ba3316324516247fe35de525ff65dddc57ad71eea72,20260729,v2
130,train,26,78.000000,train=26|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,a84f039e6766fb7c258a5bcf9860033d8cfad8f3f13bc3fde3d5a80e794a8ac4,20260729,v2
131,train,215,645.000000,train=215|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,b506540a2e7c675f4c93d75d02953a41f707d20df0c9a6ab68b0b886341155ac,20260729,v2
132,train,140,420.000000,train=140|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,ecf1a1fe1f5a86358285946e233c520bfac9720f7a879ca429b02d0362f344ff,20260729,v2
133,train,44,132.000000,train=44|train_small=0|part=0|test=0,0,20-49,eligible_train,at_least_2_utterances,a4ed4b8a00a0174b7e1ed6c4cd15708e189aa70fa392f530b01bb4887d911690,20260729,v2
134,train,112,336.000000,train=112|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,d2e7d00c97295faf0980ac9b8f11d862a2f475de5d44592dea782e24247259fd,20260729,v2
135,train,155,465.000000,train=155|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,6c955d6ba328c9cc6723925349217cee015ea722149955a1737d1e43a199d74a,20260729,v2
136,train,426,1278.000000,train=426|train_small=0|part=0|test=0,0,200-499,eligible_train,at_least_2_utterances,df00f58ca03631b80fe92973deeddc1972b7670173fbad8fa4e4c23082856c14,20260729,v2
137,validation,92,276.000000,train=92|train_small=0|part=0|test=0,0,50-99,eligible_evaluation,at_least_20_utterances,00387ef53ba3b8c0069593a7fe3a974e31dc2a6517e31659ab8a1a789df0825a,20260729,v2
