speaker_id,final_split,trusted_utterance_count,train_utterance_count,train_small_utterance_count,provenance_signature,utterance_bucket,eligibility_reason
1256,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1259,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1260,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1262,excluded,4,1,3,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1265,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1266,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1267,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1269,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1272,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1275,excluded,4,3,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1276,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1280,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1293,excluded,4,2,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1296,excluded,4,1,3,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1297,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1300,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1302,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1316,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1319,excluded,3,0,3,train_small_only,under_10,fewer_than_5_trusted_utterances
1323,excluded,4,2,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1324,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1326,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1327,excluded,4,2,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1328,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1329,excluded,4,2,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1330,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1332,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1334,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1335,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1337,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1338,excluded,3,0,3,train_small_only,under_10,fewer_than_5_trusted_utterances
1344,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1345,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1347,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1349,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1350,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1351,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1352,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1353,excluded,4,3,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1361,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1374,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1375,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1380,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1381,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1383,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1384,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1385,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1390,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1398,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1401,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1402,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1403,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1407,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1413,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1416,excluded,4,2,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1417,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1418,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
142,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1422,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1425,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1427,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1428,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1430,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1434,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1440,excluded,4,1,3,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1442,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1443,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1451,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1453,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1458,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1460,excluded,4,2,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1461,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1464,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1467,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1468,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1472,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1475,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1476,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1477,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1484,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1485,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1490,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1498,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1499,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1502,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1503,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1507,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1510,excluded,4,2,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1512,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1513,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1515,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1517,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1519,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1524,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1526,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1543,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1544,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1546,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1551,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1557,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1559,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1563,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1565,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1567,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1572,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1573,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1575,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1576,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1577,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1583,excluded,4,3,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1584,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1585,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1586,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1590,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1595,excluded,4,1,3,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1597,excluded,4,3,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1599,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1601,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1603,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1605,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1610,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1611,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1612,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1614,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1616,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1618,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1619,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1624,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1630,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1633,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1646,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1647,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1652,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1653,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1695,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1697,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1702,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1704,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1705,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1707,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1709,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1712,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1713,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1714,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1720,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1722,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1724,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1730,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1731,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1732,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1734,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1735,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1736,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1737,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1739,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1740,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1741,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
19,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
192,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
207,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
214,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
232,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
236,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
285,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
291,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
301,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
313,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
360,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
364,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
368,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
382,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
403,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
406,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
411,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
52,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
67,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
73,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
8,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
87,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
94,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
97,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
